feature,mean_abs_shap
hpv_status,0.22307843202500358
primary_site,0.16186122700725472
stage,0.11909992008797757
age,0.08117405997676626
tobacco_use,0.07102806364352873
cci_score,0.06645379392628889
treatment,0.033803565627527184
race,0.026589904758982482
poverty_pct,0.026272235224364286
alcohol_use,0.0238544283468555
insurance,0.022635118314093483
grade,0.013235073197008871
sex,0.01205384586552102
region,0.011451284001040306
hypertension,0.010655661340161781
median_income,0.009524680247996192
immunosuppressed,0.00920029550514971
urban_rural,0.006126633568362685
diabetes,0.005462209746470059
prior_cancer,0.004785105767826504
